block,read_write,timestamp
1150202,w,1858836234587
1150202,w,1858836235997
1150202,w,1858836235997
1150202,w,1858836235997
1150202,w,1858836235997
1150202,w,1858836235997
1150202,w,1858836235997
1150202,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150203,w,1858836235997
1150204,w,1858836235997
1150204,w,1858836235997
1150204,w,1858836235997
1150204,w,1858836237601
1150204,w,1858836237601
1150204,w,1858836237601
1150204,w,1858836237601
1150204,w,1858836237601
1150205,w,1858836237601
1150205,w,1858836237601
1150205,w,1858836237601
1150205,w,1858836237669
1150205,w,1858836237669
1150205,w,1858836237669
1150205,w,1858836237669
1150205,w,1858836237669
1150206,w,1858836237669
1150206,w,1858836237669
1150206,w,1858836237669
1150206,w,1858836237726
1150206,w,1858836237726
1150206,w,1858836237726
1150206,w,1858836237726
1150206,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150207,w,1858836237726
1150208,w,1858836237726
1150208,w,1858836237726
1150208,w,1858836237726
1150208,w,1858836237789
1150208,w,1858836237789
1150208,w,1858836237789
1150208,w,1858836237789
1150208,w,1858836237789
1150209,w,1858836237789
1150209,w,1858836237789
1150209,w,1858836237789
770305,w,1858836239486
770305,w,1858836239486
770305,w,1858836239486
770305,w,1858836239486
770305,w,1858836239486
770305,w,1858836239486
770305,w,1858836239486
770305,w,1858836239486
1144249,w,1858836240752
770304,w,1858836241161
770304,w,1858836241161
770304,w,1858836241161
770304,w,1858836241161
770304,w,1858836241161
770304,w,1858836241161
770304,w,1858836241161
770304,w,1858836241161
1144250,w,1858836242064
1144250,w,1858836242064
1144250,w,1858836242064
1144250,w,1858836242064
1144250,w,1858836242064
1144250,w,1858836242064
1144250,w,1858836242064
1144250,w,1858836242064
6917562,w,1858836242125
6917562,w,1858836242125
6917562,w,1858836242125
6917562,w,1858836242125
6917562,w,1858836242125
6917562,w,1858836242125
6917562,w,1858836242125
6917562,w,1858836242125
6917570,w,1858836242176
6917570,w,1858836242176
6917570,w,1858836242176
6917570,w,1858836242176
6917570,w,1858836242176
6917570,w,1858836242176
6917570,w,1858836242176
6917570,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6917571,w,1858836242176
6763575,w,1858836242228
6763575,w,1858836242228
6763575,w,1858836242228
